"coluna","nulos"
"id_uc","0"
"codigo_uc","0"
"data_certificacao_gestor","0"
"data_publicacao_cnuc","0"
"codigo_wdpa","0"
"qualidade_dados_georreferenciados","0"
"reserva_biosfera","1002"
"mosaico","2969"
"sitios_ramsar","3112"
"sitios_patrimonio_mundial","3143"
"programa_projeto","2992"
"municipio_costeiro_area_marinha","0"
"municipio_costeiro","0"
"mar_territorial","0"
"recortes_ha","3185"
"us","0"
"pi","0"
"grupo","0"
"percentual_alem_linha_costa","0"
"bioma_area","3185"
"area_ato_legal","1"
"area_soma_biomas_continental","0"
"area_soma_biomas","0"
"fonte_area","0"
"orgao_gestor","0"
"conselho_gestor","0"
"plano_manejo","0"
"outros_atos_legais","0"
"ato_legal_criacao","0"
"ano_ato_legal","0"
"ano_criacao","0"
"uf","0"
"categoria_iucn","0"
"categoria_manejo","0"
"esfera_administrativa","0"
"informacoes_gerais","3185"
"nome_uc","0"
